subject,course_code,type,course_title,weekdays,time,instructors,location
SURG,301,Field Course (GDEU),TCP Surgery.,M,10:30 am-12:00 pm,TBA,000890 A2040B
SURG,301,Field Course (GDEU),TCP Surgery.,M,01:00 pm-02:30 pm,TBA,000890 A2040D
SURG,301,Field Course (GDEU),TCP Surgery.,M,02:45 pm-04:15 pm,TBA,000890 A2040D
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,03:01 pm-04:00 pm,TBA,000890 A2040A
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,04:01 pm-05:00 pm,TBA,000890 A2040A
SURG,402,Field Course (GDEU),Surgery Clerkship.,T,03:00 pm-04:00 pm,TBA,000890 A2040A
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,01:00 pm-02:00 pm,TBA,000890 A2040A
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,02:01 pm-04:30 pm,TBA,000890 A2040A
SURG,402,Field Course (GDEU),Surgery Clerkship.,M,08:00 am-03:00 pm,TBA,000890 A2027
SURG,402,Field Course (GDEU),Surgery Clerkship.,M,08:00 am-03:00 pm,TBA,000890 A2026A
SURG,402,Field Course (GDEU),Surgery Clerkship.,W,01:00 pm-05:00 pm,TBA,000890 A2027
SURG,402,Field Course (GDEU),Surgery Clerkship.,W,01:00 pm-05:00 pm,TBA,000890 A2026A
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,08:00 am-03:00 pm,TBA,000890 A2026A
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,08:00 am-03:00 pm,TBA,000890 A2027
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,01:00 pm-04:30 pm,TBA,000890 A2027
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,01:00 pm-04:30 pm,TBA,000890 A2026A
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,04:01 pm-05:30 pm,TBA,000890 A2040A
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,01:00 pm-02:00 pm,TBA,000890 A2040A
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,02:01 pm-03:00 pm,TBA,000890 A2040A
SURG,402,Field Course (GDEU),Surgery Clerkship.,R,03:01 pm-04:00 pm,TBA,000890 A2040A
SURG,402,Field Course (GDEU),Surgery Clerkship.,T,02:15 pm-03:15 pm,TBA,000890 A2040A
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Syndie David,BIRKS 017
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:30 am-12:55 pm,Syndie David,BIRKS 017
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,01:05 pm-02:25 pm,Syndie David,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Syndie David,BIRKS 017
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:30 am-12:55 pm,Syndie David,BIRKS 017
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,01:05 pm-02:25 pm,Syndie David,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Syndie David,BIRKS 017
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Syndie David,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-12:55 pm,Syndie David,BIRKS 017
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,01:05 pm-02:25 pm,Syndie David,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Syndie David,BIRKS 017
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,R,11:35 am-02:25 pm,Syndie David,BIRKS 017
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Hend Alqawasma,FERR 408
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-12:55 pm,Hend Alqawasma,FERR 408
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,01:05 pm-02:25 pm,Hend Alqawasma,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Hend Alqawasma,FERR 408
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-12:55 pm,Hend Alqawasma,FERR 408
